SessionNum,Playtime,Duration,Level,Gold,SpentGold,TotalDamage,Monsters,Bosses,Inputs,Crits,KbPower,MsPower,CrystalsStage,CrystalsBoss,CrystalsGold,CrystalsTotal,CrystalsSpent,CrystalsRemain,GGKilled,GGEscaped,GGGold,BaseAttackLv,AttackPctLv,CritChanceLv,CritDamageLv,MultiHitLv,TimeExtendLv,UpgradeDiscountLv,GoldFlatPermLv,GoldMultiPermLv,CrystalFlatLv
1,34.9,34.9,5,60,-6,415,4,0,173,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,70.6,35.7,5,60,-6,413,4,0,172,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,105.8,35.2,5,60,-6,415,4,0,172,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,136.0,30.3,4,42,-10,302,3,0,142,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,170.9,34.8,5,60,-6,415,4,0,171,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,205.8,34.9,5,60,-6,413,4,0,164,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,240.3,34.5,5,60,-6,418,4,0,164,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,277.7,37.4,5,60,-6,413,4,0,172,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,311.1,33.4,5,60,-6,415,4,0,161,28,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,346.2,35.1,5,60,-6,413,4,0,164,24,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,382.2,35.9,5,60,-6,413,4,0,172,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,419.1,36.9,5,60,-6,415,4,0,173,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,455.7,36.6,5,60,-6,413,4,0,170,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,490.8,35.2,5,60,-6,413,4,0,166,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,525.8,34.9,5,60,-6,413,4,0,171,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,559.3,33.5,5,60,-6,413,4,0,162,26,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,595.6,36.3,5,60,-6,413,4,0,174,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,630.5,35.0,5,60,-6,415,4,0,169,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,665.9,35.4,5,60,-6,413,4,0,174,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,701.4,35.5,5,60,-6,417,4,0,173,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,731.4,30.0,4,42,-10,304,3,0,139,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,767.3,35.9,5,60,-6,413,4,0,174,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,802.1,34.8,5,60,-6,413,4,0,169,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,836.3,34.2,5,60,-6,413,4,0,170,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,872.7,36.5,5,60,-6,415,4,0,173,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,907.8,35.1,5,60,-6,413,4,0,168,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,942.6,34.8,5,60,-6,413,4,0,169,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,978.2,35.6,5,60,-6,413,4,0,171,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1014.6,36.4,5,60,-6,413,4,0,173,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1050.3,35.6,5,60,-6,415,4,0,168,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1087.1,36.8,5,60,-6,413,4,0,175,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1121.9,34.8,5,60,-6,415,4,0,166,23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1157.2,35.3,5,60,-6,413,4,0,169,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1194.4,37.2,5,60,-6,415,4,0,173,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1229.7,35.3,5,60,-6,416,4,0,170,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1263.8,34.2,5,60,-6,415,4,0,164,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1299.3,35.5,5,60,-6,413,4,0,174,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1336.0,36.7,5,60,-6,415,4,0,172,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1370.4,34.4,5,60,-6,415,4,0,167,22,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1400.5,30.0,4,42,-10,304,3,0,142,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1435.5,35.0,5,60,-6,416,4,0,173,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
