SessionNum,Playtime,Duration,Level,Gold,SpentGold,TotalDamage,Monsters,Bosses,Inputs,Crits,KbPower,MsPower,CrystalsStage,CrystalsBoss,CrystalsGold,CrystalsTotal,CrystalsSpent,CrystalsRemain,GGKilled,GGEscaped,GGGold,BaseAttackLv,AttackPctLv,CritChanceLv,CritDamageLv,MultiHitLv,TimeExtendLv,UpgradeDiscountLv,GoldFlatPermLv,GoldMultiPermLv,CrystalFlatLv
1,29.9,29.9,2,1,-1,164,1,0,146,18,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,59.9,30.0,2,1,-1,150,1,0,136,14,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,89.8,29.9,2,4,-4,163,1,0,142,21,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,119.7,30.0,2,4,-4,155,1,0,144,11,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5,149.6,29.8,2,4,-4,150,1,0,142,8,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
6,179.5,29.9,2,4,-4,161,1,0,144,17,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0
7,209.3,29.9,2,7,-7,158,1,0,140,18,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0
8,239.2,29.9,2,7,-7,160,1,0,143,17,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0
9,269.2,30.0,2,7,-7,156,1,0,143,13,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0
10,299.1,30.0,2,7,-7,168,1,0,147,21,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0
11,329.1,30.0,2,7,-7,156,1,0,141,15,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0
12,359.0,29.9,2,7,-7,153,1,0,140,13,0,0,1,0,0,1,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0
13,388.9,29.9,2,7,-7,164,1,0,145,19,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
14,418.9,29.9,2,7,-7,160,1,0,147,13,0,0,1,0,0,1,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0
15,448.7,29.9,7,15,-15,167,1,0,143,24,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
16,478.7,29.9,7,15,-15,160,1,0,144,16,0,0,1,0,0,1,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0
17,508.5,29.9,12,22,-6,158,1,0,141,10,1,0,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
18,538.5,30.0,12,22,-6,160,1,0,136,16,1,0,1,0,0,1,2,0,0,0,0,0,0,1,3,0,0,0,2,0,0
19,568.3,29.8,16,0,0,153,0,0,144,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0
20,598.2,29.9,17,30,-14,174,1,0,146,26,1,0,1,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
21,628.1,29.9,16,0,0,153,0,0,141,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
22,657.9,29.8,16,0,0,153,0,0,138,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
23,687.8,29.9,16,0,0,158,0,0,142,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
24,717.7,29.9,16,0,0,155,0,0,143,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
25,747.5,29.8,16,0,0,166,0,0,145,21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
26,777.4,29.9,16,0,0,164,0,0,146,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
27,807.3,29.9,16,0,0,150,0,0,142,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
28,837.2,29.9,16,0,0,160,0,0,147,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
29,867.1,29.9,16,0,0,161,0,0,145,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
30,897.0,29.9,16,0,0,159,0,0,142,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
31,927.0,30.0,16,0,0,158,0,0,146,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
32,956.9,29.9,16,0,0,151,0,0,137,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
33,986.8,29.9,16,0,0,150,0,0,138,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
34,1016.6,29.8,16,0,0,156,0,0,146,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
35,1046.5,29.9,16,0,0,159,0,0,142,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
36,1076.4,29.9,16,0,0,156,0,0,139,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
37,1106.3,29.9,16,0,0,156,0,0,139,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
38,1136.3,30.0,16,0,0,152,0,0,144,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
39,1166.2,29.9,16,0,0,169,0,0,148,21,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
40,1196.1,29.9,16,0,0,155,0,0,139,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
41,1226.1,29.9,16,0,0,155,0,0,143,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
42,1256.0,29.9,16,0,0,160,0,0,148,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
43,1285.8,29.9,16,0,0,152,0,0,138,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
44,1315.7,29.9,16,0,0,154,0,0,141,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
45,1345.6,29.8,16,0,0,161,0,0,143,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
46,1375.5,30.0,16,0,0,157,0,0,140,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
47,1405.5,29.9,16,0,0,155,0,0,141,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
48,1435.3,29.8,16,0,0,158,0,0,142,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
49,1465.1,29.8,16,0,0,150,0,0,140,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
50,1495.0,29.9,16,0,0,159,0,0,142,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
51,1524.9,29.9,16,0,0,158,0,0,142,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
52,1554.7,29.8,16,0,0,155,0,0,140,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
53,1584.6,29.9,16,0,0,150,0,0,140,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
54,1614.5,29.8,16,0,0,151,0,0,140,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
55,1644.4,29.9,16,0,0,168,0,0,148,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
56,1674.1,29.7,16,0,0,153,0,0,140,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
57,1704.0,29.9,16,0,0,151,0,0,140,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
58,1733.9,29.9,16,0,0,163,0,0,144,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
59,1763.9,29.9,16,0,0,156,0,0,141,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
60,1793.7,29.9,16,0,0,159,0,0,141,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
61,1823.7,30.0,16,0,0,161,0,0,141,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
62,1853.7,30.0,16,0,0,160,0,0,141,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
63,1883.6,29.9,16,0,0,152,0,0,140,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
64,1913.3,29.7,16,0,0,155,0,0,137,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
65,1943.3,30.0,16,0,0,158,0,0,142,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
66,1973.2,29.9,16,0,0,160,0,0,142,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
67,2002.9,29.7,16,0,0,155,0,0,143,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
68,2032.8,29.9,16,0,0,159,0,0,142,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
69,2062.6,29.8,16,0,0,150,0,0,142,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
70,2092.5,29.8,16,0,0,159,0,0,146,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
71,2122.3,29.8,16,0,0,154,0,0,140,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
72,2152.2,30.0,16,0,0,154,0,0,142,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
73,2182.2,29.9,16,0,0,155,0,0,143,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
74,2212.1,30.0,16,0,0,154,0,0,141,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,2,0,0
