SessionNum,Playtime,Duration,Level,Gold,SpentGold,TotalDamage,Monsters,Bosses,Inputs,Crits,KbPower,MsPower,CrystalsStage,CrystalsBoss,CrystalsGold,CrystalsTotal,CrystalsSpent,CrystalsRemain,GGKilled,GGEscaped,GGGold,BaseAttackLv,AttackPctLv,CritChanceLv,CritDamageLv,MultiHitLv,TimeExtendLv,UpgradeDiscountLv,GoldFlatPermLv,GoldMultiPermLv,CrystalFlatLv
1,30.1,30.1,69,5372,20,77978,68,6,147,17,2689,2688,6,445,0,451,451,0,0,0,0,0,0,30,4,1,0,0,0,0,0
2,60.3,30.2,88,8526,20,175118,87,8,142,39,4266,4265,8,721,0,729,729,0,0,0,0,0,0,30,5,1,0,0,43,1,0
3,90.3,30.0,118,30069,20,1242946,117,11,148,41,15037,15037,11,1516,0,1527,1527,0,0,0,0,0,0,30,6,1,63,0,43,1,0
4,145.8,55.5,133,26404,20,1062993,82,8,258,55,13212,13212,8,1524,0,1532,1531,1,0,0,0,14,5,30,7,1,63,0,43,1,0
5,201.2,55.4,274,132098,320,14672776,223,22,223,42,66172,66172,22,7003,0,7025,7025,1,1,0,29394,14,5,79,12,2,63,0,43,1,0
6,256.5,55.3,312,130809,320,34127556,261,26,262,135,65528,65527,26,9972,0,9998,9996,3,0,0,0,14,5,79,12,2,63,0,111,20,0
7,311.8,55.3,307,184448,470,51580880,256,25,256,124,92444,92443,25,9392,0,9417,9418,2,0,0,0,14,5,79,12,2,125,0,111,20,0
8,391.9,80.1,412,284908,470,139067714,331,33,332,171,142624,142623,33,17027,0,17060,17059,3,1,0,1128,38,12,79,16,2,125,0,111,20,1
9,472.0,80.0,463,348414,1820,271290932,382,38,382,217,175102,175101,38,21473,0,21511,21511,3,0,0,0,38,12,110,66,7,125,0,111,20,1
10,552.1,80.1,464,349721,1820,884447377,383,38,383,258,175755,175755,38,20919,0,20957,20959,1,0,0,0,38,12,110,66,7,125,0,149,31,1
11,632.2,80.2,476,415287,1970,1059884212,390,39,390,247,208613,208613,39,22465,0,22504,22502,3,0,0,0,38,12,110,66,7,170,0,149,31,2
12,722.3,90.1,623,569528,1970,1935523784,427,43,427,278,285686,285685,43,35900,0,35943,35946,0,0,0,0,53,17,110,67,7,170,1,149,31,2
13,812.5,90.1,615,555350,3020,2162034930,419,42,419,277,279122,279121,42,34887,0,34929,34927,2,0,0,0,53,17,130,101,11,170,1,149,31,2
14,902.5,90.0,625,573094,3020,3906235890,429,43,430,332,287906,287906,43,36506,0,36549,36541,10,0,0,0,53,17,130,101,11,170,2,179,35,2
15,992.6,90.1,623,613241,3170,4015395777,427,43,427,323,308146,308146,43,36394,0,36437,36437,10,0,0,0,53,17,130,101,11,203,2,179,35,3
16,1082.6,90.0,678,679982,3320,4900477616,382,38,381,283,341412,341411,38,38058,0,38096,38101,5,1,0,70520,61,27,130,102,11,203,3,179,35,4
17,1172.8,90.2,739,724854,5870,6828282620,433,43,433,344,364883,364882,43,46799,0,46842,46847,0,0,0,0,61,27,145,113,17,203,3,179,35,4
18,1263.0,90.2,690,679615,5870,7720080154,384,38,384,330,341624,341623,38,39023,0,39061,39049,12,1,0,57920,61,27,145,113,17,203,3,197,52,4
19,1353.1,90.1,743,770046,6470,8577566726,432,43,433,356,387139,387139,43,47125,0,47168,47158,22,0,0,0,61,27,145,113,17,227,4,197,52,4
20,1443.3,90.2,891,944061,6770,10645120834,390,39,389,321,475416,475415,39,56205,0,56244,56246,20,1,0,108864,69,28,145,113,17,227,4,197,52,5
21,1533.4,90.1,937,957658,6920,12536033169,436,43,436,365,482291,482290,43,63400,0,63443,63454,9,0,0,0,69,28,157,150,23,227,4,197,52,5
22,1623.4,90.0,935,952330,6920,17212027565,434,43,434,386,479630,479629,43,63383,0,63426,63402,33,0,0,0,69,28,157,150,23,227,4,216,71,6
23,1713.5,90.1,937,1010482,7220,18369884747,436,43,436,372,508856,508855,43,66649,0,66692,66689,36,0,0,0,69,28,157,150,23,249,4,216,71,6
24,1803.7,90.2,1006,969094,7670,17749643496,380,38,379,343,488387,488386,38,66118,0,66156,66141,51,1,0,8960,75,40,157,151,23,249,4,216,71,7
25,1893.8,90.1,1059,1121871,10070,27551144409,433,43,433,398,565975,565975,43,75226,0,75269,75314,6,0,0,0,75,40,167,171,28,249,4,216,71,7
26,1983.9,90.1,1052,1100434,10070,32222306677,426,43,426,405,555257,555256,43,78907,0,78950,78918,38,0,0,0,75,40,167,171,28,249,4,232,86,7
27,2073.9,90.0,1011,1051405,10370,27483808479,385,39,384,360,530892,530892,39,67755,0,67794,67802,30,1,0,36096,75,40,167,171,28,265,4,232,86,8
28,2164.0,90.1,1082,1197411,10520,34680086264,436,44,436,406,603970,603970,44,79395,0,79439,79456,13,0,0,0,80,53,167,173,28,265,4,232,86,8
29,2254.0,90.0,1072,1165139,14270,41007893039,426,43,426,395,589709,589709,43,76275,0,76318,76327,4,0,0,0,80,53,174,203,40,265,4,232,86,8
30,2344.1,90.1,1018,1050300,14270,43258214837,372,37,371,361,532290,532289,37,63835,0,63872,63828,48,1,0,57876,80,53,174,203,40,265,4,242,91,8
31,2434.3,90.2,1079,1187217,15470,52815579533,423,42,423,409,601348,601348,42,76196,0,76238,76259,27,0,0,0,80,53,174,203,40,278,4,242,91,8
32,2524.4,90.1,1249,1434460,15470,63535588030,393,39,392,386,724970,724969,39,84606,0,84645,84657,15,1,0,169248,84,63,174,204,40,278,4,242,91,8
33,2614.4,90.0,1298,1423097,18770,74401434138,432,43,432,413,720938,720938,43,97520,0,97563,97570,8,0,0,0,84,63,182,204,45,278,4,242,91,8
34,2704.6,90.1,1292,1400427,18770,76566519583,426,43,426,426,709603,709603,43,97489,0,97532,97532,8,0,0,0,84,63,182,204,45,278,4,254,99,8
35,2794.7,90.1,1250,1433544,18770,81771049991,384,38,383,383,726162,726161,38,83811,0,83849,83803,54,1,0,163436,84,63,182,204,45,290,4,254,99,8
36,2884.8,90.1,1268,1480920,18920,76477139007,387,38,386,386,749925,749924,38,85461,0,85499,85401,152,1,0,186660,88,64,182,204,45,290,4,254,99,8
37,2974.8,90.0,1309,1455289,19370,86096141786,428,42,428,428,737334,737334,42,94667,0,94709,94857,4,0,0,0,88,64,188,210,47,290,4,254,99,8
38,3064.9,90.1,1264,1405805,19370,78219827125,383,38,382,382,712592,712592,38,83402,0,83440,83410,34,1,0,126464,88,64,188,210,47,290,4,262,108,8
39,3155.0,90.1,1321,1517203,19970,96117646009,435,44,435,435,768591,768591,44,100655,0,100699,100655,78,0,0,0,88,64,188,210,47,301,4,262,108,8
40,3245.1,90.1,1478,1649068,20120,106565675655,427,42,427,427,834599,834598,42,109158,0,109200,109077,201,0,0,0,92,67,188,210,47,301,4,262,108,8
41,3335.2,90.1,1440,1654825,21620,100836600479,384,38,383,383,838227,838227,38,98896,0,98934,99124,11,1,0,190188,92,67,193,223,54,301,4,262,108,8
42,3425.4,90.2,1489,1680291,21620,120605729677,433,43,433,433,850960,850960,43,110193,0,110236,110221,26,0,0,0,92,67,193,223,54,301,4,271,115,8
43,3515.6,90.2,1499,1736625,22370,125281740721,438,43,438,438,879502,879502,43,110376,0,110419,110320,125,0,0,0,92,67,193,223,54,311,4,271,115,8
44,3605.6,90.0,1565,1702259,22670,107987975870,384,38,383,383,862469,862469,38,109247,0,109285,109206,204,1,0,100518,95,73,193,224,54,311,4,271,115,8
45,3695.8,90.2,1613,1812668,25520,143378125498,427,43,427,427,919099,919098,43,126607,0,126650,126825,29,0,0,0,95,73,198,250,60,311,4,271,115,8
46,3785.8,90.1,1567,1742605,25520,147950325546,381,38,380,380,884067,884067,38,108229,0,108267,108014,282,1,0,149796,95,73,198,250,60,311,4,278,126,8
47,3876.0,90.2,1572,1734516,26120,135961604500,386,39,385,385,880323,880322,39,112075,0,112114,112340,56,1,0,86688,95,73,198,250,60,320,4,278,126,8
48,3966.2,90.2,1646,1913479,26120,178527610180,435,43,435,435,969804,969804,43,127931,0,127974,127939,91,0,0,0,98,79,198,250,60,320,4,278,126,8
49,4056.2,90.0,1600,1893094,27020,164365964135,384,38,383,383,960062,960061,38,109514,0,109552,109608,35,1,0,227040,98,79,202,260,60,320,4,278,126,8
50,4146.3,90.0,1649,1908800,27020,199226384720,433,43,433,433,967915,967914,43,129737,0,129780,129792,23,0,0,0,98,79,202,260,60,320,4,286,127,8
51,4236.3,90.0,1636,1883933,-21430,173729480464,415,41,414,414,931256,931256,41,118325,49,118415,118314,124,1,0,49200,98,79,202,260,60,328,4,286,127,8
52,4326.4,90.2,1706,1990463,27920,204521776134,435,43,435,435,1009196,1009196,43,132647,0,132690,132774,40,0,0,0,101,81,202,261,60,328,4,286,127,8
