SessionNum,Playtime,Duration,Level,Gold,SpentGold,TotalDamage,Monsters,Bosses,Inputs,Crits,KbPower,MsPower,CrystalsStage,CrystalsBoss,CrystalsGold,CrystalsTotal,CrystalsSpent,CrystalsRemain,GGKilled,GGEscaped,GGGold,BaseAttackLv,AttackPctLv,CritChanceLv,CritDamageLv,MultiHitLv,TimeExtendLv,UpgradeDiscountLv,GoldFlatPermLv,GoldMultiPermLv,CrystalFlatLv
1,29.8,29.8,4,42,12,314,3,0,139,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,59.8,30.0,4,42,12,331,3,0,142,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,89.7,29.9,4,42,12,338,3,0,142,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,119.5,29.8,4,42,12,319,3,0,145,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,149.4,29.9,4,42,12,323,3,0,143,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,179.3,29.9,4,42,12,323,3,0,148,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,209.1,29.8,4,42,12,311,3,0,141,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,239.0,29.8,4,42,12,323,3,0,143,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,268.9,29.9,4,42,12,302,3,0,137,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,298.8,30.0,4,42,12,321,3,0,145,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,328.7,29.9,4,42,12,337,3,0,146,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,358.6,29.9,4,42,12,342,3,0,145,20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,388.5,29.9,4,42,12,341,3,0,147,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,418.5,29.9,3,26,6,298,2,0,141,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,448.4,30.0,4,42,12,302,3,0,139,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,478.3,29.9,4,42,12,353,3,0,149,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,508.1,29.8,3,26,6,300,2,0,141,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,537.9,29.8,4,42,12,326,3,0,141,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,567.8,29.9,4,42,12,344,3,0,149,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,597.6,29.8,4,42,12,325,3,0,142,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,627.6,30.0,4,42,12,320,3,0,146,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,657.5,29.8,4,42,12,344,3,0,150,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,687.3,29.9,4,42,12,329,3,0,146,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,717.2,29.9,4,42,12,311,3,0,140,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
