SessionNum,Playtime,Duration,Level,Gold,SpentGold,TotalDamage,Monsters,Bosses,Inputs,Crits,KbPower,MsPower,CrystalsStage,CrystalsBoss,CrystalsGold,CrystalsTotal,CrystalsSpent,CrystalsRemain,GGKilled,GGEscaped,GGGold,BaseAttackLv,AttackPctLv,CritChanceLv,CritDamageLv,MultiHitLv,TimeExtendLv,UpgradeDiscountLv,GoldFlatPermLv,GoldMultiPermLv,CrystalFlatLv
1,30.1,30.1,51,3050,20,31917,50,5,145,15,1528,1527,50,346,0,396,396,0,0,0,0,0,0,28,8,0,0,0,0,0,0
2,60.2,30.1,77,6612,20,127094,76,7,144,28,3309,3308,76,630,0,706,706,0,0,0,0,0,0,28,8,0,0,0,42,4,0
3,90.3,30.1,128,32959,170,1417754,122,12,143,34,16487,16486,150,1740,0,1890,1890,0,0,0,0,0,0,28,8,0,69,0,42,4,0
4,148.2,57.9,268,107667,170,14081480,262,26,272,63,53841,53840,498,7210,0,7708,7707,1,0,0,0,28,5,28,10,0,69,0,42,4,0
5,205.9,57.7,236,116410,920,16386661,225,22,224,64,58658,58657,395,5810,0,6205,6205,1,1,0,30560,28,5,76,24,3,69,0,42,4,0
6,263.6,57.7,285,118671,920,45184605,274,27,274,128,59788,59788,544,8094,0,8638,8638,1,0,0,0,28,5,76,24,3,69,0,107,12,0
7,321.2,57.6,298,180956,1220,83732264,272,27,273,138,91070,91070,568,8854,0,9422,9422,1,0,0,0,28,5,76,24,3,126,0,107,12,0
8,401.7,80.5,526,393648,1220,326484507,390,39,391,188,197359,197359,1484,26474,0,27958,27959,0,0,0,0,47,7,76,26,3,126,0,107,12,1
9,482.2,80.5,482,403845,1970,280679737,346,35,345,183,202876,202876,1233,22248,0,23481,23479,2,1,0,71400,47,7,111,64,9,126,0,107,12,1
10,562.8,80.5,520,385248,1970,906313155,384,38,384,249,193578,193577,1448,25392,0,26840,26837,5,0,0,0,47,7,111,64,9,126,0,154,32,2
11,643.4,80.6,521,451018,2420,1117787674,380,38,381,249,226644,226644,1444,25897,0,27341,27338,8,0,0,0,47,7,111,64,9,176,0,154,32,3
12,733.4,90.0,714,665032,2570,2126489530,433,43,435,284,332731,332730,2369,43643,0,46012,46019,1,0,0,0,59,26,111,66,9,176,2,154,32,3
13,823.5,90.1,719,669571,4820,3213564047,433,43,435,296,336189,336189,2394,45452,0,47846,47846,1,0,0,0,59,26,136,76,10,176,2,154,32,3
14,913.5,90.0,676,648504,4820,3720575011,390,39,389,280,326423,326422,2070,39049,0,41119,41112,8,1,0,64216,59,26,136,76,10,176,2,184,37,3
15,1003.8,90.3,714,704988,4970,4205526048,428,43,428,324,354740,354739,2354,45757,0,48111,48109,10,0,0,0,59,26,136,76,10,213,2,184,37,3
16,1093.8,90.0,752,751315,5120,4167811276,381,38,381,288,375915,375914,2324,43896,0,46220,46223,7,1,0,76356,66,36,136,77,10,213,2,184,37,4
17,1183.8,90.0,802,781725,6470,6524484559,426,43,426,340,393138,393138,2714,54437,0,57151,57156,2,0,0,0,66,36,151,88,12,213,3,184,37,4
18,1274.0,90.2,813,806984,6470,8111040148,437,44,437,366,405768,405767,2813,55540,0,58353,58338,17,0,0,0,66,36,151,88,12,213,4,207,52,4
