# InGame Stat Upgrade Formulas (Keyboard/Mouse Power)
# base_cost = 30
# growth_rate = 0.4
# multiplier = 1.3
# softcap_interval = 6
# effect_per_level = 0.15
#
# Cost = base_cost * (1 + level * growth_rate) * multiplier^(level / softcap_interval)
# Effect = level * effect_per_level
# Total Damage = 1 (base) + effect

Upgrade_Level,Cost,Cumulative_Cost,Effect,Total_Damage,DPS_at_5CPS
1,44,44,0.15,1,5
2,59,103,0.3,1,5
3,76,179,0.45,1,5
4,93,272,0.6,1,5
5,112,384,0.75,1,5
6,133,517,0.9,1,5
7,155,672,1.05,2,10
8,179,851,1.2,2,10
9,205,"1,056",1.35,2,10
10,233,"1,289",1.5,2,10
11,263,"1,552",1.65,2,10
12,295,"1,847",1.8,2,10
13,329,"2,176",1.95,2,10
14,366,"2,542",2.1,3,15
15,405,"2,947",2.25,3,15
16,447,"3,394",2.4,3,15
17,493,"3,887",2.55,3,15
18,541,"4,428",2.7,3,15
19,593,"5,021",2.85,3,15
20,648,"5,669",3,4,20
21,707,"6,376",3.15,4,20
22,770,"7,146",3.3,4,20
23,837,"7,983",3.45,4,20
24,909,"8,892",3.6,4,20
25,985,"9,877",3.75,4,20
26,"1,067","10,944",3.9,4,20
27,"1,153","12,097",4.05,5,25
28,"1,246","13,343",4.2,5,25
29,"1,344","14,687",4.35,5,25
30,"1,449","16,136",4.5,5,25
31,"1,560","17,696",4.65,5,25
32,"1,678","19,374",4.8,5,25
33,"1,804","21,178",4.95,5,25
34,"1,938","23,116",5.1,6,30
35,"2,080","25,196",5.25,6,30
36,"2,230","27,426",5.4,6,30
37,"2,391","29,817",5.55,6,30
38,"2,561","32,378",5.7,6,30
39,"2,741","35,119",5.85,6,30
40,"2,933","38,052",6,7,35
41,"3,136","41,188",6.15,7,35
42,"3,351","44,539",6.3,7,35
43,"3,580","48,119",6.45,7,35
44,"3,822","51,941",6.6,7,35
45,"4,079","56,020",6.75,7,35
46,"4,350","60,370",6.9,7,35
47,"4,639","65,009",7.05,8,40
48,"4,944","69,953",7.2,8,40
49,"5,267","75,220",7.35,8,40
50,"5,609","80,829",7.5,8,40
51,"5,972","86,801",7.65,8,40
52,"6,355","93,156",7.8,8,40
53,"6,761","99,917",7.95,8,40
54,"7,190","107,107",8.1,9,45
55,"7,645","114,752",8.25,9,45
56,"8,125","122,877",8.4,9,45
57,"8,633","131,510",8.55,9,45
58,"9,171","140,681",8.7,9,45
59,"9,739","150,420",8.85,9,45
60,"10,340","160,760",9,10,50
61,"10,975","171,735",9.15,10,50
62,"11,646","183,381",9.3,10,50
63,"12,355","195,736",9.45,10,50
64,"13,104","208,840",9.6,10,50
65,"13,896","222,736",9.75,10,50
66,"14,732","237,468",9.9,10,50
67,"15,615","253,083",10.05,11,55
68,"16,548","269,631",10.2,11,55
69,"17,533","287,164",10.35,11,55
70,"18,572","305,736",10.5,11,55
71,"19,670","325,406",10.65,11,55
72,"20,829","346,235",10.8,11,55
73,"22,052","368,287",10.95,11,55
74,"23,343","391,630",11.1,12,60
75,"24,705","416,335",11.25,12,60
76,"26,142","442,477",11.4,12,60
77,"27,659","470,136",11.55,12,60
78,"29,258","499,394",11.7,12,60
79,"30,946","530,340",11.85,12,60
80,"32,726","563,066",12,13,65
81,"34,603","597,669",12.15,13,65
82,"36,582","634,251",12.3,13,65
83,"38,670","672,921",12.45,13,65
84,"40,870","713,791",12.6,13,65
85,"43,191","756,982",12.75,13,65
86,"45,637","802,619",12.9,13,65
87,"48,216","850,835",13.05,14,70
88,"50,933","901,768",13.2,14,70
89,"53,798","955,566",13.35,14,70
90,"56,817","1,012,383",13.5,14,70
91,"59,998","1,072,381",13.65,14,70
92,"63,350","1,135,731",13.8,14,70
93,"66,882","1,202,613",13.95,14,70
94,"70,603","1,273,216",14.1,15,75
95,"74,523","1,347,739",14.25,15,75
96,"78,653","1,426,392",14.4,15,75
97,"83,002","1,509,394",14.55,15,75
98,"87,584","1,596,978",14.7,15,75
99,"92,409","1,689,387",14.85,15,75
100,"97,491","1,786,878",15,16,80
