# Monster HP Formulas
# base_hp = 10 (config/GameData.json)
# tier_interval = 100
# tier_multiplier = 1.92
# linear_growth_per_level = 8
# decay_per_tier = 0.99
# boss_hp_multiplier = 3.0
# boss_interval = 10
#
# HP = base_hp * tier_multiplier^tier + level_in_tier * linear_growth
# tier = (level - 1) // tier_interval
# level_in_tier = (level - 1) % tier_interval
# Boss HP = Normal HP * boss_hp_multiplier

Level,Normal_HP,Boss_HP,Tier,HP_Delta,Growth_Rate,Is_Boss,Gold_Reward,Boss_Crystal
1,10,30,0,10,8.0,,12,
2,18,54,0,8,8.0,,14,
3,26,78,0,8,8.0,,16,
4,34,102,0,8,8.0,,18,
5,42,126,0,8,8.0,,20,
6,50,150,0,8,8.0,,22,
7,58,174,0,8,8.0,,24,
8,66,198,0,8,8.0,,26,
9,74,222,0,8,8.0,,28,
10,82,246,0,8,8.0,Y,30,60
11,90,270,0,8,8.0,,32,
12,98,294,0,8,8.0,,34,
13,106,318,0,8,8.0,,36,
14,114,342,0,8,8.0,,38,
15,122,366,0,8,8.0,,40,
16,130,390,0,8,8.0,,42,
17,138,414,0,8,8.0,,44,
18,146,438,0,8,8.0,,46,
19,154,462,0,8,8.0,,48,
20,162,486,0,8,8.0,Y,50,110
21,170,510,0,8,8.0,,52,
22,178,534,0,8,8.0,,54,
23,186,558,0,8,8.0,,56,
24,194,582,0,8,8.0,,58,
25,202,606,0,8,8.0,,60,
26,210,630,0,8,8.0,,62,
27,218,654,0,8,8.0,,64,
28,226,678,0,8,8.0,,66,
29,234,702,0,8,8.0,,68,
30,242,726,0,8,8.0,Y,70,160
31,250,750,0,8,8.0,,72,
32,258,774,0,8,8.0,,74,
33,266,798,0,8,8.0,,76,
34,274,822,0,8,8.0,,78,
35,282,846,0,8,8.0,,80,
36,290,870,0,8,8.0,,82,
37,298,894,0,8,8.0,,84,
38,306,918,0,8,8.0,,86,
39,314,942,0,8,8.0,,88,
40,322,966,0,8,8.0,Y,90,210
41,330,990,0,8,8.0,,92,
42,338,1014,0,8,8.0,,94,
43,346,1038,0,8,8.0,,96,
44,354,1062,0,8,8.0,,98,
45,362,1086,0,8,8.0,,100,
46,370,1110,0,8,8.0,,102,
47,378,1134,0,8,8.0,,104,
48,386,1158,0,8,8.0,,106,
49,394,1182,0,8,8.0,,108,
50,402,1206,0,8,8.0,Y,110,260
51,410,1230,0,8,8.0,,112,
52,418,1254,0,8,8.0,,114,
53,426,1278,0,8,8.0,,116,
54,434,1302,0,8,8.0,,118,
55,442,1326,0,8,8.0,,120,
56,450,1350,0,8,8.0,,122,
57,458,1374,0,8,8.0,,124,
58,466,1398,0,8,8.0,,126,
59,474,1422,0,8,8.0,,128,
60,482,1446,0,8,8.0,Y,130,310
61,490,1470,0,8,8.0,,132,
62,498,1494,0,8,8.0,,134,
63,506,1518,0,8,8.0,,136,
64,514,1542,0,8,8.0,,138,
65,522,1566,0,8,8.0,,140,
66,530,1590,0,8,8.0,,142,
67,538,1614,0,8,8.0,,144,
68,546,1638,0,8,8.0,,146,
69,554,1662,0,8,8.0,,148,
70,562,1686,0,8,8.0,Y,150,360
71,570,1710,0,8,8.0,,152,
72,578,1734,0,8,8.0,,154,
73,586,1758,0,8,8.0,,156,
74,594,1782,0,8,8.0,,158,
75,602,1806,0,8,8.0,,160,
76,610,1830,0,8,8.0,,162,
77,618,1854,0,8,8.0,,164,
78,626,1878,0,8,8.0,,166,
79,634,1902,0,8,8.0,,168,
80,642,1926,0,8,8.0,Y,170,410
81,650,1950,0,8,8.0,,172,
82,658,1974,0,8,8.0,,174,
83,666,1998,0,8,8.0,,176,
84,674,2022,0,8,8.0,,178,
85,682,2046,0,8,8.0,,180,
86,690,2070,0,8,8.0,,182,
87,698,2094,0,8,8.0,,184,
88,706,2118,0,8,8.0,,186,
89,714,2142,0,8,8.0,,188,
90,722,2166,0,8,8.0,Y,190,460
91,730,2190,0,8,8.0,,192,
92,738,2214,0,8,8.0,,194,
93,746,2238,0,8,8.0,,196,
94,754,2262,0,8,8.0,,198,
95,762,2286,0,8,8.0,,200,
96,770,2310,0,8,8.0,,202,
97,778,2334,0,8,8.0,,204,
98,786,2358,0,8,8.0,,206,
99,794,2382,0,8,8.0,,208,
100,802,2406,0,8,8.0,Y,210,510
