# Permanent Stat Upgrade Formulas (Crystal Currency)
# Cost = base_cost * (1 + level * growth_rate) * multiplier^(level / softcap_interval)
# Effect = level * effect_per_level  (capped at max_effect if set)
# Tier Effect: effect_per_level * effect_multiplier_per_tier^tier  (if tier_config exists)
#
# === Per-Stat Parameters ===
"# base_attack (기본 공격력), base_cost=20, growth=1.2, mult=1.9, softcap=8, effect/lv=4, effect_mult_tier=1.28"
"# attack_percent (공격력 배수), base_cost=10, growth=1.0, mult=1.8, softcap=8, effect/lv=0.2, max_lv=1000, max_effect=200"
"# crit_chance (크리티컬 확률), base_cost=1, growth=0.7, mult=1.7, softcap=8, effect/lv=0.09, max_lv=1000, max_effect=90"
"# crit_damage (크리티컬 배율), base_cost=1, growth=0.5, mult=1.5, softcap=10, effect/lv=0.002, max_lv=1000, max_effect=2.0"
"# multi_hit (멀티히트 확률), base_cost=1, growth=0.7, mult=1.6, softcap=8, effect/lv=0.1, max_lv=1000, max_effect=100"
"# time_extend (기본 시간 연장), base_cost=1.5, growth=0.6, mult=1.4, softcap=10, effect/lv=0.28, max_lv=300, max_effect=60, dmg_bonus/lv=0.667%"
"# upgrade_discount (업그레이드 할인), base_cost=1, growth=0.5, mult=1.3, softcap=10, effect/lv=5.0, max_lv=20, max_effect=60, dmg_bonus/lv=0.6%"
"# gold_flat_perm (영구 골드+), base_cost=0.05, growth=0.7, mult=1.6, softcap=10, effect/lv=3, effect_mult_tier=1.12"
"# gold_multi_perm (영구 골드*), base_cost=0.08, growth=0.7, mult=1.4, softcap=10, effect/lv=0.2, max_lv=1000, max_effect=200, effect_mult_tier=1.12"
"# crystal_flat (크리스탈+), base_cost=1, growth=0.9, mult=1.8, softcap=5, effect/lv=10, effect_mult_tier=0.94"
"# crystal_chance (크리스탈*), base_cost=1, growth=0.8, mult=1.7, softcap=5, effect/lv=0.1, max_lv=1000, max_effect=100, effect_mult_tier=0.94"
"# start_level (시작 레벨), base_cost=3, growth=0.5, mult=1.5, softcap=12, effect/lv=1.0"
"# start_gold (시작 골드), base_cost=1, growth=0.4, mult=1.4, softcap=12, effect/lv=150"
"# start_keyboard (시작 키보드), base_cost=1, growth=0.5, mult=1.5, softcap=8, effect/lv=2.0"
"# start_mouse (시작 마우스), base_cost=1, growth=0.5, mult=1.5, softcap=8, effect/lv=2.0"

Level,base_attack_cost,base_attack_cum_cost,base_attack_effect,attack_percent_cost,attack_percent_cum_cost,attack_percent_effect,crit_chance_cost,crit_chance_cum_cost,crit_chance_effect,crit_damage_cost,crit_damage_cum_cost,crit_damage_effect,multi_hit_cost,multi_hit_cum_cost,multi_hit_effect,time_extend_cost,time_extend_cum_cost,time_extend_effect,upgrade_discount_cost,upgrade_discount_cum_cost,upgrade_discount_effect,gold_flat_perm_cost,gold_flat_perm_cum_cost,gold_flat_perm_effect,gold_multi_perm_cost,gold_multi_perm_cum_cost,gold_multi_perm_effect,crystal_flat_cost,crystal_flat_cum_cost,crystal_flat_effect,crystal_chance_cost,crystal_chance_cum_cost,crystal_chance_effect,start_level_cost,start_level_cum_cost,start_level_effect,start_gold_cost,start_gold_cum_cost,start_gold_effect,start_keyboard_cost,start_keyboard_cum_cost,start_keyboard_effect,start_mouse_cost,start_mouse_cum_cost,start_mouse_effect
1,48,48,4,22,22,0.2,2,2,0.09,2,2,0.002,2,2,0.1,3,3,0.28,2,2,5,1,1,3,1,1,0.2,3,3,10,3,3,0.1,5,5,1,2,2,150,2,2,2,2,2,2
2,80,128,8,35,57,0.4,3,5,0.18,3,5,0.004,3,5,0.2,4,7,0.56,3,5,10,1,2,6,1,2,0.4,4,7,20,4,7,0.2,7,12,2,2,4,300,3,5,4,3,5,4
3,118,246,12,50,107,0.6,4,9,0.27,3,8,0.006,4,9,0.3,5,12,0.84,3,8,15,1,3,9,1,3,0.6,6,13,30,5,12,0.3,9,21,3,3,7,450,3,8,6,3,8,6
4,160,406,16,68,175,0.8,5,14,0.36,4,12,0.008,5,14,0.4,6,18,1.12,4,12,20,1,4,12,1,4,0.8,8,21,40,7,19,0.4,11,32,4,3,10,600,4,12,8,4,12,8
5,210,616,20,87,262,1,7,21,0.45,5,17,0.01,7,21,0.5,8,26,1.4,4,16,25,1,5,15,1,5,1,10,31,50,9,28,0.5,13,45,5,4,14,750,5,17,10,5,17,10
6,266,882,24,109,371,1.2,8,29,0.54,6,23,0.012,8,29,0.6,9,35,1.68,5,21,30,1,6,18,1,6,1.2,13,44,60,11,39,0.6,15,60,6,5,19,900,6,23,12,6,23,12
7,330,"1,212",28,134,505,1.4,10,39,0.63,6,29,0.014,9,38,0.7,10,45,1.96,6,27,35,1,7,21,1,7,1.4,17,61,70,14,53,0.7,18,78,7,5,24,1050,7,30,14,7,30,14
8,403,"1,615",32,162,667,1.6,12,51,0.72,7,36,0.016,11,49,0.8,12,57,2.24,7,34,40,1,8,24,1,8,1.6,22,83,80,18,71,0.8,20,98,8,6,30,1200,8,38,16,8,38,16
9,486,"2,101",36,194,861,1.8,14,65,0.81,8,44,0.018,13,62,0.9,13,70,2.52,7,41,45,1,9,27,1,9,1.8,27,110,90,22,93,0.9,23,121,9,6,36,1350,9,47,18,9,47,18
10,580,"2,681",40,230,"1,091",2,16,81,0.9,9,53,0.02,15,77,1,15,85,2.8,8,49,50,1,10,30,1,10,2,33,143,100,27,120,1,26,147,10,7,43,1500,10,57,20,10,57,20
11,687,"3,368",44,270,"1,361",2.2,19,100,0.99,11,64,0.022,17,94,1.1,17,102,3.08,9,58,55,1,11,33,2,12,2.2,40,183,110,32,152,1.1,29,176,11,8,51,1650,12,69,22,12,69,22
12,807,"4,175",48,314,"1,675",2.4,21,121,1.08,12,76,0.024,20,114,1.2,19,121,3.36,10,68,60,1,12,36,2,14,2.4,49,232,120,38,190,1.2,32,208,12,9,60,1800,13,82,24,13,82,24
13,943,"5,118",52,364,"2,039",2.6,24,145,1.17,13,89,0.026,22,136,1.3,21,142,3.64,11,79,60,1,13,39,2,16,2.6,59,291,130,46,236,1.3,35,243,13,9,69,1950,15,97,26,15,97,26
14,"1,095","6,213",56,420,"2,459",2.8,28,173,1.26,15,104,0.028,25,161,1.4,23,165,3.92,12,91,60,2,15,42,2,18,2.8,71,362,140,54,290,1.4,39,282,14,10,79,2100,17,114,28,17,114,28
15,"1,267","7,480",60,482,"2,941",3,32,205,1.35,16,120,0.03,28,189,1.5,25,190,4.2,13,104,60,2,17,45,2,20,3,85,447,150,64,354,1.5,43,325,15,11,90,2250,19,133,30,19,133,30
